x|y|output1_output2_output_n 
2|7|1_2_3_4_68_5_7_39_8_10_44_13_45_14_16_51_59_61_29_31
2|25|16_2_3_4_5_25_26_13_29_14_31
2|10|2_3_99_4_5_39_10_11_13_14_16_50_26_29_61_31
2|4|16_2_3_4_5_13_29_14_31
2|15|16_2_3_4_5_13_29_14_15_31
2|55|1_2_3_4_68_5_69_70_7_10_13_14_16_20_27_29_31_32_99_44_46_48_50_55_59_60_61
2|18|16_2_18_3_19_4_5_13_29_14_31
2|22|2_3_99_4_5_39_13_14_16_50_22_23_29_31
2|76|16_2_3_68_4_5_7_76_13_29_14_31
1|3|1_2_3_35_4_69_70_10_44_13_14_16_50_20_59_60_29_61
1|13|1_2_35_4_69_70_10_44_13_14_16_50_20_59_60_29_61_31
1|16|1_2_35_4_69_38_10_44_76_13_16_17_50_20_59_60_28_29_61
1|11|1_33_2_35_3_4_69_6_7_9_10_11_12_44_13_14_16_50_20_59_60_29_61_31
1|6|1_2_35_68_4_5_69_6_7_10_44_13_14_16_50_20_59_60_28_29_61
1|12|32_1_2_3_35_4_5_69_10_12_44_13_14_16_50_20_59_60_29_61
1|19|1_2_35_4_69_10_44_13_16_50_19_20_59_60_29_61
1|29|1_2_35_3_4_5_69_10_44_13_14_16_50_20_59_60_29_61_30
1|38|1_2_3_68_4_5_69_70_7_10_74_13_16_20_29_35_38_39_44_46_48_50_59_60_61
1|48|1_2_35_99_4_69_38_10_74_44_13_46_48_16_50_20_21_58_59_60_29_61
1|2|1_2_3_35_4_5_69_10_44_13_14_16_50_20_59_60_29_61_31
1|74|1_66_2_35_4_69_38_74_10_44_13_16_17_50_20_59_60_29_61
1|26|1_2_35_4_68_69_38_7_10_44_13_14_16_50_20_26_27_59_60_61_29
1|40|1_2_35_3_4_5_69_38_6_7_40_10_44_13_14_16_17_50_20_59_60_29_61
1|39|1_2_35_3_4_68_5_69_38_39_7_10_44_45_13_16_50_19_20_59_60_29_61
1|71|1_65_2_66_3_68_4_5_69_70_71_7_10_76_13_14_16_17_20_27_28_29_31_35_38_44_50_59_60_61
