x|y|output1_output2_output_n 
9|62|16_35_4_22_55_9_10_13_29_62
9|27|16_35_4_9_10_27_28_76_13_29
9|37|3_35_4_37_5_9_10_13_14_51_21_28_29_61
9|30|66_35_4_68_72_9_10_13_16_29_61_30_31
9|49|16_49_17_35_4_9_10_13_29_47
9|50|1_35_4_39_9_10_44_13_48_50_22_59_29
9|69|65_66_3_4_68_69_5_70_6_71_7_8_9_10_76_13_14_16_17_19_20_28_29_30_31_32_35_38_44_61
9|44|65_3_35_4_5_39_9_10_42_44_13_14_46_16_50_28_29
9|32|32_33_35_99_4_9_10_13_29
9|58|35_3_99_4_5_9_10_13_14_16_51_21_22_58_29_31
9|21|99_35_4_21_22_9_10_13_29
9|73|65_66_3_4_68_5_69_6_7_71_9_73_10_76_13_14_16_17_27_28_29_30_35_38_44_47_50_60_61
9|34|16_34_50_35_51_4_21_9_10_13_29
9|47|65_3_35_4_5_39_9_10_45_13_47_22_28_29_61
9|25|16_35_4_9_25_10_26_13_29
9|10|35_4_21_9_10_26_11_13_29_61
9|15|16_35_4_9_10_13_29_15
9|55|1_2_4_68_69_70_7_9_10_74_13_16_20_27_29_32_35_99_38_44_46_48_50_55_59_60_61
9|18|16_18_19_35_4_5_9_10_13_29
9|22|99_35_4_22_23_9_10_13_29
9|76|16_35_4_68_7_9_10_76_13_29
5|13|16_4_20_5_6_70_7_28_13_29_14_31
5|16|16_17_4_20_5_6_38_7_28_76_29_13
5|11|33_3_4_5_6_7_9_11_12_13_14_16_20_28_29_61_31
5|6|16_68_4_20_5_6_7_28_29_13_14
5|12|32_1_2_3_4_5_6_7_12_13_14_16_50_20_28_60_29
5|19|16_19_20_4_5_6_7_28_29_13
5|29|3_4_5_6_38_7_44_13_14_16_20_28_29_30_62
5|38|1_2_3_4_68_5_38_6_70_7_74_13_46_16_50_20_28_29_61
5|48|1_2_99_4_5_6_38_7_13_46_48_16_50_20_58_28_29
5|74|66_4_5_6_38_7_74_13_16_17_20_28_29
5|26|2_4_68_5_69_6_7_10_13_16_50_20_26_27_28_61_29
5|40|3_4_5_6_38_7_40_13_14_16_17_20_28_29
5|39|35_3_4_68_5_6_38_39_7_10_45_13_16_19_20_60_28_29_61
5|71|65_66_3_68_4_5_69_70_6_71_7_10_76_13_14_16_17_20_27_28_29_31_38_50_60_61
5|68|3_68_4_5_69_6_38_7_10_13_45_14_16_50_20_27_28_60_29_61_31
5|31|32_1_4_5_6_38_7_40_44_13_45_48_16_50_20_59_28_60_29_31
5|28|34_3_4_5_6_7_76_13_14_16_20_28_29
5|51|1_34_99_4_5_6_38_7_40_10_44_13_45_16_48_49_50_51_20_59_28_60_29_61
5|9|16_35_4_20_5_6_7_9_10_28_13_29
5|20|1_99_4_5_6_38_7_44_13_16_50_20_21_22_59_28_29
5|65|65_1_2_3_68_4_5_69_6_7_10_13_16_20_28_29_31_35_38_44_50_58_59_60_61
5|70|3_4_5_70_6_38_7_39_10_13_16_20_28_29_61_62
5|66|65_66_2_3_4_68_5_69_6_70_7_10_13_14_16_17_20_27_28_29_31_38_40_47_50_59_60_61
5|17|4_68_5_6_7_13_16_17_18_20_26_28_29
5|46|2_35_3_4_5_69_6_38_39_7_8_10_44_13_46_16_50_20_59_27_28_29_61
5|62|16_4_20_5_6_38_55_7_28_29_13_62
5|27|16_4_20_5_6_7_27_28_76_29_13
5|37|3_35_4_5_37_6_7_10_13_14_16_20_28_29_61
5|30|66_4_68_5_6_7_13_16_20_28_29_61_30_31
5|49|99_4_5_6_38_7_13_47_16_49_17_20_28_29
5|5|16_4_20_5_6_7_28_29_13
5|50|1_4_5_6_38_7_44_13_48_16_50_20_59_28_29
5|69|65_66_3_4_68_5_69_6_70_71_7_8_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
5|44|65_35_3_4_5_6_38_7_39_42_44_13_14_16_50_20_28_29
5|32|32_33_99_4_5_6_7_10_13_16_20_28_29
5|58|3_99_4_5_6_7_13_14_16_51_20_58_28_29_31
5|8|3_4_68_5_6_7_8_9_13_14_16_20_28_29_31
5|21|99_4_5_6_7_10_13_16_20_21_22_28_29
5|73|65_66_3_68_4_5_69_6_7_71_73_10_76_13_14_16_17_20_27_28_29_30_38_44_47_50_60_61
5|34|16_34_50_35_4_20_5_6_7_28_29_13
5|47|65_3_35_4_5_6_38_7_39_45_13_47_16_20_28_29_61
5|7|1_4_68_5_6_38_7_8_10_44_45_13_16_51_20_59_28_61_29
5|25|16_4_20_5_6_7_25_26_28_29_13
5|10|99_4_5_6_7_10_11_13_16_20_26_28_29_61
5|15|16_4_20_5_6_7_28_29_13_15
5|55|1_2_4_68_5_69_6_70_7_10_13_16_20_27_28_29_32_99_44_46_48_50_55_59_60_61
5|18|16_18_19_4_20_5_6_7_28_29_13
5|22|16_99_4_20_5_22_6_7_23_28_29_13
5|76|16_68_4_20_5_6_7_76_28_29_13
8|13|3_4_68_6_70_7_8_9_13_14_16_29_31
8|16|3_4_68_6_38_7_8_9_76_13_14_16_17_28_29_31
8|11|33_3_4_68_6_7_39_8_9_11_12_13_14_16_20_29_61_31
8|12|32_1_2_3_4_68_5_6_7_8_9_12_13_14_16_50_20_60_29_31
8|19|3_4_68_6_7_8_9_13_14_16_19_20_29_31
8|29|3_4_68_5_6_38_7_8_9_44_13_14_16_29_30_62_31
8|38|1_2_3_68_4_5_38_6_70_7_39_8_9_74_13_46_14_16_50_29_61_31
8|48|1_2_99_3_68_4_6_38_7_39_8_9_13_46_14_48_16_50_58_29_31
8|74|66_3_4_68_6_38_7_8_9_74_13_14_16_17_29_31
8|26|2_3_4_68_69_6_7_8_9_10_13_14_16_50_26_27_61_29_31
8|40|3_4_68_5_6_38_7_8_40_9_13_14_16_17_20_29_31
8|39|35_3_4_68_5_6_38_39_7_8_9_10_45_13_14_16_19_20_60_29_61_31
8|71|65_66_3_68_4_5_69_70_6_71_7_8_9_10_76_13_14_16_17_27_28_29_31_38_50_60_61
8|68|3_68_4_5_69_6_38_7_8_9_10_13_45_14_16_50_20_27_28_60_29_61_31
8|31|32_1_3_68_4_6_38_7_8_40_9_44_13_45_14_48_16_50_20_59_60_29_31
8|28|34_3_4_68_5_6_7_8_9_76_13_14_16_28_29_31
8|51|1_3_68_4_6_7_8_9_10_13_14_16_29_31_34_99_38_40_44_45_48_49_50_51_59_60_61
8|9|3_35_4_68_6_7_8_9_10_13_14_16_29_31
8|20|1_99_3_4_68_6_38_7_39_8_9_44_13_14_16_50_20_21_22_59_29_31
8|65|65_1_2_3_68_4_5_69_6_7_8_9_10_13_14_16_20_29_31_35_38_44_50_58_59_60_61
8|70|3_4_68_70_6_38_7_39_8_9_10_13_14_16_29_61_62_31
8|66|65_66_2_3_68_4_69_5_6_70_7_8_9_10_13_14_16_17_20_27_28_29_31_38_40_47_50_59_60_61
8|17|3_68_4_6_7_8_9_13_14_16_17_18_26_29_31
8|46|2_3_68_4_5_69_6_7_8_9_10_13_14_16_27_29_31_35_38_39_44_46_50_59_61
8|62|3_4_68_6_38_7_8_9_13_14_16_55_29_62_31
8|27|3_4_68_6_7_8_9_76_13_14_16_27_28_29_31
8|37|3_35_4_68_37_5_6_7_39_8_9_10_13_14_16_28_29_61_31
8|30|66_3_4_68_6_7_8_9_13_14_16_29_61_30_31
8|49|3_99_4_68_6_38_7_8_9_13_14_47_16_49_17_29_31
8|50|1_3_4_68_6_38_7_8_9_44_13_14_16_48_50_59_29_31
8|69|65_66_3_4_68_69_5_6_70_71_7_8_9_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
8|44|65_35_3_4_68_5_6_38_7_39_8_9_42_44_13_14_16_50_28_29_31
8|32|32_33_3_99_4_68_6_7_39_8_9_10_13_14_16_29_31
8|58|3_99_4_68_5_6_38_7_8_9_13_14_16_51_58_29_31
8|8|16_3_68_4_6_7_8_9_13_29_14_31
8|21|3_99_4_68_6_7_39_8_9_10_13_14_16_21_22_29_31
8|73|65_66_3_68_4_5_69_6_7_71_8_73_9_10_76_13_14_16_17_27_28_29_30_31_38_44_47_50_60_61
8|34|34_35_3_4_68_6_7_39_8_9_13_14_16_50_29_31
8|47|65_3_35_4_68_5_6_38_7_39_8_9_13_45_14_47_16_28_29_61_31
8|25|3_4_68_6_7_8_9_13_14_16_25_26_29_31
8|10|3_99_4_68_6_7_39_8_9_10_11_13_14_16_26_29_61_31
8|15|3_4_68_6_7_8_9_13_14_15_16_29_31
8|55|1_2_3_4_68_69_6_70_7_8_9_10_13_14_16_20_27_29_31_32_99_44_46_48_50_55_59_60_61
8|18|3_4_68_5_6_7_8_9_13_14_16_18_19_29_31
8|22|3_99_4_68_6_7_39_8_9_13_14_16_22_23_29_31
8|76|3_4_68_6_7_8_9_76_13_14_16_29_31
7|13|1_4_68_70_7_8_10_44_13_45_14_16_51_59_61_29_31
7|16|1_68_38_7_8_10_44_76_45_16_17_51_59_28_61_29
7|11|1_33_3_68_4_6_7_8_9_10_11_12_44_45_13_14_16_51_20_59_61_29_31
7|12|1_2_3_4_68_5_7_8_10_12_13_14_16_20_29_32_38_39_44_45_50_51_59_60_61
7|19|1_68_7_8_10_44_45_16_19_51_20_59_61_29
7|29|1_3_4_68_5_38_7_39_8_10_44_13_45_14_16_51_59_29_61_30_62
7|38|1_2_3_68_4_5_70_7_8_74_10_13_16_23_29_35_38_39_44_45_46_48_50_51_59_61
7|48|1_2_99_35_68_38_7_8_10_74_44_45_46_48_16_50_51_21_58_59_61_29
7|74|1_66_68_38_7_8_74_10_44_45_16_17_51_59_61_29
7|26|1_2_35_4_68_69_38_7_8_10_44_45_13_14_16_50_51_26_27_59_61_29
7|40|1_3_68_4_5_38_6_7_8_40_10_44_45_13_14_16_17_51_20_59_61_29
7|39|1_35_3_4_68_5_38_7_39_8_10_44_45_13_16_51_19_20_59_60_61_29
7|71|65_1_66_3_68_4_5_69_70_7_71_8_10_76_13_14_16_17_27_28_29_31_35_38_39_44_45_50_51_59_60_61
7|68|1_3_68_4_5_69_7_8_10_13_14_16_20_27_28_29_31_35_38_39_44_45_50_51_59_60_61
7|31|32_1_4_68_38_7_8_40_10_44_45_13_48_16_50_51_20_59_60_61_29_31
7|28|1_34_3_68_4_5_7_39_8_10_44_76_45_13_14_16_51_59_28_61_29
7|51|1_34_99_35_68_38_7_39_8_40_10_44_45_48_16_49_50_51_59_60_61_29
7|9|1_35_4_68_7_8_9_10_44_13_45_16_51_21_59_61_29
7|20|1_99_68_38_7_8_10_44_45_16_50_51_20_21_22_59_61_29
7|65|65_1_2_3_68_4_5_69_7_8_10_13_16_20_29_31_35_38_39_44_45_50_51_58_59_60_61
7|70|1_3_35_4_68_70_38_7_39_8_10_44_45_16_51_59_61_29_62
7|66|1_65_66_2_3_68_4_5_69_70_7_8_10_13_14_16_17_20_27_28_29_31_35_38_39_40_44_45_47_50_51_59_60_61
7|17|1_35_68_4_38_7_8_10_44_45_16_17_18_51_26_59_61_29
7|46|1_2_35_3_4_68_5_69_38_7_39_8_10_44_45_13_46_16_50_51_59_27_61_29
7|62|1_68_38_7_8_10_44_45_16_51_55_59_61_29_62
7|27|1_68_7_8_10_44_76_45_16_51_27_59_28_61_29
7|37|1_3_35_4_68_37_5_7_39_8_10_44_13_45_14_16_51_59_28_61_29
7|30|1_66_35_4_68_7_8_10_44_45_16_51_59_61_29_30_31
7|49|1_99_68_38_7_8_10_44_45_47_16_49_17_51_59_61_29
7|50|1_68_38_7_39_8_10_44_45_16_48_50_51_23_59_61_29
7|69|65_1_66_3_4_68_69_5_6_70_7_71_8_10_76_13_14_16_17_19_20_28_29_30_31_32_35_38_39_44_45_51_59_61
7|44|65_1_3_4_68_5_7_8_10_13_14_16_28_29_35_38_39_42_44_45_46_50_51_59_61
7|32|32_33_1_99_68_7_8_10_44_45_16_51_59_61_29
7|58|1_3_99_4_68_5_38_7_39_8_10_44_13_45_14_16_51_21_58_59_61_29_31
7|8|1_3_4_68_6_38_7_8_9_10_44_13_45_14_16_51_59_61_29_31
7|21|1_99_68_7_8_10_44_45_16_51_21_22_59_61_29
7|73|1_65_66_3_68_4_5_69_6_7_71_8_73_10_76_13_14_16_17_27_28_29_30_35_38_39_44_45_47_50_51_59_60_61
7|34|1_34_35_68_7_8_10_44_45_16_50_51_21_59_61_29
7|47|65_1_3_35_4_68_5_38_7_39_8_10_44_45_13_47_16_51_59_28_29_61
7|7|1_68_38_7_8_10_44_45_16_51_59_61_29
7|25|1_68_7_8_10_44_45_16_51_25_26_59_61_29
7|10|1_99_68_7_8_10_11_44_45_16_51_21_26_59_61_29
7|15|1_68_7_8_10_44_45_15_16_51_59_61_29
7|55|1_2_68_4_69_70_7_8_10_74_13_16_20_23_27_29_32_35_99_38_44_45_46_48_50_51_55_59_60_61
7|18|1_68_5_7_8_10_44_45_16_18_19_51_59_61_29
7|22|1_99_68_7_8_10_44_45_16_51_22_23_59_61_29
7|76|1_68_38_7_8_10_76_44_45_16_51_59_61_29
10|13|16_99_4_70_10_26_11_13_61_29_14_31
10|16|16_17_99_10_26_11_28_76_29_61
10|11|33_35_3_4_6_7_9_10_11_12_13_14_16_20_21_26_29_61_31
10|12|32_1_2_3_99_4_5_39_10_11_12_13_14_50_20_26_60_29_61
10|19|19_20_10_26_11_29_61
10|29|3_4_5_38_39_10_11_44_13_14_16_26_29_61_30_62
10|38|1_2_3_68_4_5_38_70_39_7_10_74_11_13_46_48_16_50_26_61_29
10|48|1_2_99_38_10_74_11_46_48_50_26_58_61
10|74|16_17_66_99_10_74_26_11_61_29
10|26|2_99_4_68_69_7_10_11_13_16_50_26_27_61_29
10|40|3_4_5_6_7_40_10_11_13_14_16_17_20_26_29_61
10|39|35_3_4_68_5_38_39_7_10_11_45_13_16_19_20_21_26_60_61_29
10|71|65_66_3_68_4_5_69_70_71_7_10_11_76_13_14_16_17_26_27_28_29_31_99_38_39_50_60_61
10|68|3_99_68_4_5_69_39_7_10_11_13_45_14_16_50_20_26_27_28_60_29_61_31
10|31|32_1_99_4_7_40_10_11_44_13_45_48_16_50_20_26_59_60_61_29_31
10|28|34_3_4_5_39_10_11_76_13_14_26_28_29_61
10|51|1_34_99_40_10_11_44_45_48_49_50_51_26_59_60_61
10|20|1_50_99_20_21_22_10_26_11_59_44_61
10|65|65_1_2_3_68_4_5_69_7_10_11_13_16_20_26_29_31_35_99_38_39_44_50_58_59_60_61
10|70|3_35_4_70_38_39_10_26_11_60_61_62
10|66|65_66_2_3_68_4_5_69_70_7_10_11_13_14_16_17_20_26_27_28_29_31_39_40_47_50_59_60_61
10|17|16_17_18_68_4_7_10_26_11_29_61
10|46|2_35_3_4_5_69_39_8_10_11_44_13_46_50_21_26_59_27_61_29
10|62|16_55_10_26_11_29_61_62
10|27|16_10_26_27_11_28_76_29_61
10|37|3_35_99_4_37_5_39_10_11_13_14_21_26_28_60_29_61
10|30|66_99_4_68_72_10_11_16_26_29_61_30_31
10|49|16_49_17_99_10_26_11_29_61_47
10|50|48_1_50_99_10_26_11_59_44_61
10|69|65_66_3_4_68_69_5_6_70_71_7_8_10_11_76_13_14_16_17_19_20_26_28_29_30_31_32_99_38_39_44_60_61
10|44|65_35_3_4_5_39_10_42_11_44_13_14_46_16_50_26_28_61_29
10|32|32_33_99_10_26_11_61
10|58|3_99_4_5_39_10_11_13_14_16_51_58_26_61_29_31
10|21|99_21_22_10_26_11_61
10|73|65_66_3_68_4_5_69_6_7_71_73_10_11_76_13_14_16_17_26_27_28_29_30_99_38_39_44_47_50_60_61
10|34|16_34_50_35_21_10_26_11_29_61
10|47|65_3_35_4_5_39_10_11_45_13_47_26_28_60_29_61
10|25|16_25_10_26_11_29_61
10|10|10_26_11_61
10|15|16_99_10_26_11_61_29_15
10|55|1_2_4_68_69_70_7_10_74_11_13_16_20_26_27_29_32_99_38_44_46_48_50_55_59_60_61
10|18|16_18_19_99_5_10_26_11_61_29
10|22|99_22_23_10_26_11_61
10|76|16_99_68_7_10_26_11_76_61_29
4|13|16_4_5_70_13_29_14_31
4|16|16_17_4_5_28_76_29
4|11|33_3_4_5_6_7_9_11_12_13_14_16_20_29_61_31
4|6|16_4_68_5_6_7_28_29_13_14
4|12|32_1_2_3_4_5_12_13_14_16_50_20_60_29
4|19|16_19_20_4_5_29
4|29|16_3_4_5_44_29_13_30_14
4|38|1_2_3_4_68_5_38_70_7_74_13_46_16_50_29_61
4|48|48_16_1_50_2_99_4_5_21_58_29_46
4|74|16_17_66_4_5_74_29
4|26|2_4_68_69_5_7_10_13_16_50_26_27_61_29
4|40|16_17_3_4_20_5_6_7_40_29_13_14
4|39|35_3_4_68_5_38_39_7_10_45_13_16_19_20_60_29_61
4|71|65_66_3_4_68_5_69_70_38_71_7_10_76_13_14_16_17_50_27_28_60_29_61_31
4|68|3_4_68_5_69_7_10_13_45_14_16_50_20_27_28_60_29_61_31
4|31|32_1_4_5_7_40_44_13_45_48_16_50_20_59_60_29_31
4|28|16_34_3_4_5_28_76_29_13_14
4|51|1_34_99_4_5_40_10_44_45_16_48_49_50_51_59_60_29_61
4|9|16_35_4_5_21_9_10_13_29
4|20|16_1_50_99_4_20_5_21_22_59_44_29
4|65|65_1_2_3_35_4_68_5_69_38_7_10_44_13_16_50_20_58_59_60_29_61_31
4|70|16_3_4_5_70_39_10_29_61_62
4|66|65_66_2_3_4_68_5_69_70_7_10_13_14_16_17_20_27_28_29_31_40_47_50_59_60_61
4|17|16_17_18_4_68_5_7_26_29
4|46|2_35_3_4_5_69_39_8_10_44_13_46_16_50_59_27_29_61
4|62|16_4_5_55_29_62
4|27|16_4_5_27_28_76_29
4|37|16_3_35_4_37_5_10_28_13_29_61_14
4|30|16_66_4_68_5_29_61_30_31
4|49|16_49_17_99_4_5_29_47
4|5|16_4_20_5_6_7_28_29_13
4|50|16_48_1_50_4_5_59_44_29
4|69|65_66_3_4_68_69_5_6_70_71_7_8_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
4|44|65_35_3_4_5_39_42_44_13_14_16_50_28_29
4|32|32_16_33_99_4_5_29
4|58|16_51_3_99_4_5_21_58_29_13_14_31
4|8|3_4_68_5_6_7_8_9_13_14_16_29_31
4|21|16_99_4_21_5_22_29
4|73|65_66_3_4_68_5_69_6_7_71_73_10_76_13_14_16_17_27_28_29_30_38_44_47_50_60_61
4|34|16_34_50_35_4_5_21_29
4|47|65_3_35_4_5_39_45_13_47_16_28_29_61
4|7|1_4_68_5_7_8_10_44_45_16_51_59_61_29
4|25|16_4_5_25_26_29
4|10|16_99_4_5_21_10_26_11_29_61
4|4|16_4_5_29
4|15|16_4_5_29_15
4|55|32_1_2_99_4_68_5_69_70_7_10_44_13_46_16_48_50_20_55_27_59_60_29_61
4|18|16_18_19_4_5_29
4|22|16_99_4_5_22_23_29
4|76|16_4_68_5_7_76_29
4|61|4_61
16|16|16_17_28_76_29
16|19|16_17_19_20_28_76_29
16|29|16_17_3_4_5_44_28_76_29_13_30_14
16|38|1_2_3_68_4_5_38_70_7_74_76_13_46_16_17_50_28_29_61
16|48|16_48_17_1_50_2_99_58_28_76_29_46
16|74|16_17_66_74_28_76_29
16|26|2_4_68_69_38_7_10_76_13_14_16_17_50_26_27_28_61_29
16|40|3_4_5_6_7_40_76_13_14_16_17_20_28_29
16|39|35_3_4_68_5_38_39_7_10_76_45_13_16_17_19_20_60_28_29_61
16|71|65_66_3_68_4_5_69_70_38_71_7_10_76_13_14_16_17_50_27_28_60_29_61_31
16|68|3_68_4_5_69_38_7_10_76_13_45_14_16_17_50_20_27_28_60_29_61_31
16|31|32_1_4_7_40_44_76_13_45_16_48_17_50_20_59_60_28_29_31
16|28|16_17_34_3_4_5_28_76_29_13_14
16|51|1_34_99_38_40_10_44_76_45_16_48_17_49_50_51_59_60_28_29_61
16|20|1_99_44_76_16_17_50_20_21_22_59_28_29
16|65|65_1_2_3_68_4_5_69_7_10_76_13_16_17_20_28_29_31_35_38_44_50_58_59_60_61
16|70|16_17_3_4_70_39_10_28_76_29_61_62
16|66|65_66_2_3_68_4_69_5_70_7_10_76_13_14_16_17_20_27_28_29_31_38_40_47_50_59_60_61
16|17|16_17_18_68_4_38_7_26_28_76_29
16|46|2_35_3_4_5_69_38_39_8_10_44_76_13_46_16_17_50_59_27_28_29_61
16|62|16_17_55_28_76_29_62
16|27|16_17_27_28_76_29
16|37|3_35_4_37_5_10_76_13_14_16_17_28_29_61
16|30|16_17_66_4_68_28_76_29_61_30_31
16|49|16_49_17_99_28_76_29_47
16|50|16_48_17_1_50_59_44_28_76_29
16|69|65_66_3_4_68_69_5_6_70_71_7_8_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
16|44|65_35_3_4_5_39_42_44_76_13_14_16_17_50_28_29
16|32|16_32_33_17_99_28_76_29
16|58|3_99_4_5_76_13_14_16_17_51_58_28_29_31
16|21|16_17_99_21_22_28_76_29
16|73|65_66_3_68_4_5_69_6_7_71_73_10_76_13_14_16_17_27_28_29_30_38_44_47_50_60_61
16|34|16_17_34_50_35_28_76_29
16|47|65_3_35_4_5_39_76_45_13_47_16_17_28_29_61
16|25|16_17_25_26_28_76_29
16|55|1_2_4_68_69_70_7_10_76_13_16_17_20_27_28_29_32_99_38_44_46_48_50_55_59_60_61
16|18|16_17_18_19_5_28_76_29
16|22|16_17_99_22_23_28_76_29
16|76|16_17_68_38_7_76_28_29
15|16|16_17_28_76_29_15
15|19|16_19_20_29_15
15|29|16_3_4_5_44_29_13_30_14_15
15|38|1_2_3_68_4_5_38_70_7_74_13_46_15_16_50_29_61
15|48|48_16_1_50_2_99_58_29_46_15
15|74|16_17_66_74_29_15
15|26|2_4_68_69_7_10_13_15_16_50_26_27_61_29
15|40|3_4_5_6_7_40_13_14_15_16_17_20_29
15|39|35_3_4_68_5_38_39_7_10_45_13_15_16_19_20_60_29_61
15|71|65_66_3_68_4_5_69_70_71_7_10_76_13_14_15_16_17_27_28_29_31_38_50_60_61
15|68|3_68_4_5_69_7_10_13_45_14_15_16_50_20_27_28_60_29_61_31
15|31|32_1_4_7_40_44_13_45_15_48_16_50_20_59_60_29_31
15|28|16_34_3_4_5_28_76_29_13_14_15
15|51|1_34_99_40_10_44_45_15_16_48_49_50_51_59_60_29_61
15|20|16_1_50_99_20_21_22_59_44_29_15
15|65|65_1_2_3_35_68_4_5_69_38_7_10_44_13_15_16_50_20_58_59_60_29_61_31
15|70|16_3_4_70_39_10_29_61_62_15
15|66|65_66_2_3_68_4_69_5_70_7_10_13_14_15_16_17_20_27_28_29_31_40_47_50_59_60_61
15|17|16_17_18_68_4_7_26_29_15
15|46|2_35_3_4_5_69_39_8_10_44_13_46_15_16_50_59_27_29_61
15|62|16_55_29_62_15
15|27|16_27_28_76_29_15
15|37|3_35_4_37_5_10_13_14_15_16_28_29_61
15|30|16_66_4_68_29_61_30_31_15
15|49|16_49_17_99_29_15_47
15|50|16_48_1_50_59_44_29_15
15|69|65_66_3_4_68_69_5_6_70_71_7_8_76_13_14_15_16_17_19_20_28_29_30_31_32_38_44_61
15|44|65_35_3_4_5_39_42_44_13_14_15_16_50_28_29
15|32|32_16_33_99_29_15
15|58|16_51_3_99_4_5_58_29_13_14_15_31
15|21|16_99_21_22_29_15
15|73|65_66_3_68_4_5_69_6_7_71_73_10_76_13_14_15_16_17_27_28_29_30_38_44_47_50_60_61
15|34|16_34_50_35_29_15
15|47|65_3_35_4_5_39_45_13_15_47_16_28_29_61
15|25|16_25_26_29_15
15|15|16_29_15
15|55|32_1_2_99_4_68_69_70_7_10_44_13_46_15_16_48_50_20_55_59_27_60_29_61
15|18|16_18_19_5_29_15
15|22|16_99_22_23_29_15
15|76|16_68_7_76_29_15
19|19|19_20_29
19|29|16_19_3_20_4_5_44_29_13_30_14
19|38|1_2_3_68_4_5_38_70_7_74_13_46_16_50_19_20_29_61
19|48|48_1_50_2_19_99_20_58_29_46
19|74|16_17_66_19_20_74_29
19|26|2_4_68_69_7_10_13_16_50_19_20_26_27_61_29
19|40|3_4_5_6_7_40_13_14_16_17_19_20_29
19|39|35_3_4_68_5_38_39_7_10_45_13_16_19_20_60_29_61
19|71|65_66_3_68_4_5_69_70_71_7_10_76_13_14_16_17_19_20_27_28_29_31_38_50_60_61
19|68|3_68_4_5_69_7_10_13_45_14_16_50_19_20_27_28_60_29_61_31
19|31|32_1_4_7_40_44_13_45_48_16_50_19_20_59_60_29_31
19|28|34_19_3_20_4_5_28_76_29_13_14
19|51|1_34_99_40_10_44_45_48_49_50_19_51_20_59_60_29_61
19|20|1_50_19_99_20_21_22_59_44_29
19|65|65_1_2_3_35_68_4_5_69_38_7_10_44_13_16_50_19_20_58_59_60_29_61_31
19|70|19_3_20_4_70_39_10_29_61_62
19|66|65_66_2_3_68_4_69_5_70_7_10_13_14_16_17_19_20_27_28_29_31_40_47_50_59_60_61
19|46|2_35_3_4_5_69_39_8_10_44_13_46_50_19_20_59_27_29_61
19|62|16_19_20_55_29_62
19|27|16_19_20_27_28_76_29
19|37|3_35_4_37_5_10_13_14_19_20_28_29_61
19|30|16_66_19_20_4_68_29_61_30_31
19|49|16_49_17_19_99_20_29_47
19|50|48_1_50_19_20_59_44_29
19|69|65_66_3_4_68_69_5_6_70_71_7_8_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
19|44|65_35_3_4_5_39_42_44_13_14_16_50_19_20_28_29
19|32|32_33_19_99_20_29
19|58|3_99_4_5_13_14_16_19_51_20_58_29_31
19|21|19_99_20_21_22_29
19|73|65_66_3_68_4_5_69_6_7_71_73_10_76_13_14_16_17_19_20_27_28_29_30_38_44_47_50_60_61
19|34|16_34_50_19_35_20_29
19|47|65_3_35_4_5_39_45_13_47_19_20_28_29_61
19|25|16_19_20_25_26_29
19|55|32_1_2_99_4_68_69_70_7_10_44_13_46_48_16_50_19_20_55_59_27_60_29_61
19|22|19_99_20_22_23_29
19|76|16_19_20_68_7_76_29
17|19|16_17_18_19_20_68_4_7_26_29
17|29|3_4_68_5_38_7_44_13_14_16_17_18_26_29_30_62
17|38|1_2_3_4_68_5_38_70_7_74_13_46_16_17_18_50_26_29_61
17|48|1_2_99_4_68_38_7_10_46_48_16_17_18_50_26_58_29
17|74|16_17_18_66_68_4_38_7_74_26_29
17|26|2_68_4_69_7_10_13_16_17_18_50_26_27_61_29
17|40|3_68_4_5_38_6_7_40_13_14_16_17_18_20_26_29
17|39|35_3_4_68_5_38_39_7_10_45_13_16_17_18_19_20_26_60_29_61
17|71|65_66_3_68_4_5_69_70_71_7_10_76_13_14_16_17_18_26_27_28_29_31_38_50_60_61
17|68|3_68_4_5_69_38_7_10_13_45_14_16_17_18_50_20_26_27_28_60_29_61_31
17|31|32_1_4_68_38_7_40_44_13_45_48_16_17_18_50_20_26_59_60_29_31
17|28|34_3_68_4_5_7_76_13_14_16_17_18_26_28_29
17|51|1_34_99_4_68_38_7_40_10_44_45_16_48_17_49_18_50_51_26_59_60_29_61
17|20|1_99_68_4_38_7_44_16_17_18_50_20_21_22_26_59_29
17|65|65_1_2_3_68_4_5_69_7_10_13_16_17_18_20_26_29_31_35_38_44_50_58_59_60_61
17|70|3_4_68_70_38_7_39_10_16_17_18_26_29_61_62
17|66|65_66_2_3_4_68_69_5_70_7_10_13_14_16_17_18_20_26_27_28_29_31_38_40_47_50_59_60_61
17|17|16_17_18_4_68_7_26_29
17|46|2_35_3_4_68_5_69_38_7_39_8_10_44_13_46_16_17_18_50_26_59_27_29_61
17|62|16_17_18_68_4_38_7_55_26_29_62
17|27|16_17_18_68_4_7_26_27_28_76_29
17|37|3_35_4_68_37_5_7_10_13_14_16_17_18_26_28_29_61
17|30|16_17_18_66_4_68_7_26_29_61_30_31
17|49|16_17_49_18_68_4_38_7_26_29_47
17|50|1_68_4_38_7_44_48_16_17_18_50_26_59_29
